"","variable","value","help_seeking_12m_structural_barriers","help_seeking_12m_worries_fear_shame","help_seeking_not12m_structural_barriers","help_seeking_not12m_worries_fear_shame"
"1","sex","female","0.8 (0.58, 1.11)","0.81 (0.55, 1.19)","1.31 (1.04, 1.65)","1.3 (1.09, 1.55)"
"2","gender","transgender/non-binary","0.64 (0.17, 2.35)","0.9 (0.13, 3.74)","1.69 (0.09, 8.5)","0.89 (0.05, 4.46)"
"3","gender","women","0.79 (0.57, 1.09)","0.89 (0.6, 1.32)","1.27 (1, 1.6)","1.32 (1.11, 1.57)"
"4","education","lwr_secondary","0.56 (0.35, 0.91)","0.81 (0.47, 1.43)","1.23 (0.85, 1.81)","0.9 (0.69, 1.18)"
"5","education","upr_secondary","0.72 (0.45, 1.15)","0.79 (0.46, 1.39)","0.95 (0.65, 1.42)","0.79 (0.61, 1.04)"
"6","education","universitary","1 (0.58, 1.74)","0.75 (0.39, 1.44)","0.93 (0.6, 1.45)","0.78 (0.57, 1.07)"
"7","work_status","other","1.07 (0.69, 1.69)","0.79 (0.43, 1.37)","1.99 (1.26, 3.02)","1.72 (1.17, 2.45)"
"8","work_status","parental_leave","1.91 (0.83, 4.98)","1.9 (0.79, 4.3)","1.72 (1.07, 2.66)","1.44 (0.96, 2.09)"
"9","work_status","retired","0.43 (0.29, 0.63)","0.92 (0.56, 1.48)","0.66 (0.47, 0.92)","0.98 (0.78, 1.23)"
"10","work_status","self-employed","0.7 (0.37, 1.35)","0.8 (0.32, 1.79)","0.62 (0.33, 1.06)","0.75 (0.48, 1.11)"
"11","work_status","student","1.66 (0.8, 3.72)","1.77 (0.8, 3.7)","1.5 (0.91, 2.36)","3.49 (2.59, 4.66)"
"12","work_status","unemployed","0.68 (0.32, 1.48)","1.81 (0.75, 4.05)","2.49 (1.44, 4.06)","2.21 (1.4, 3.35)"
"13","income","10-19k","0.61 (0.36, 1.01)","0.87 (0.49, 1.59)","0.53 (0.36, 0.78)","0.54 (0.41, 0.72)"
"14","income","20-29k","0.6 (0.34, 1.04)","0.79 (0.42, 1.51)","0.5 (0.34, 0.73)","0.43 (0.32, 0.57)"
"15","income","30-39k","0.85 (0.43, 1.65)","0.71 (0.31, 1.55)","0.48 (0.31, 0.74)","0.34 (0.24, 0.47)"
"16","income","40-49k","1.97 (0.7, 6.47)","1.05 (0.34, 2.93)","0.31 (0.16, 0.58)","0.29 (0.18, 0.46)"
"17","income","50+k","0.71 (0.26, 2.04)","0.59 (0.13, 2.02)","0.35 (0.16, 0.7)","0.22 (0.11, 0.4)"
"18","income","no reply","0.64 (0.33, 1.22)","0.53 (0.23, 1.2)","0.34 (0.21, 0.54)","0.34 (0.24, 0.48)"
"19","marital_status","divorced","0.29 (0.12, 0.64)","0.38 (0.17, 0.87)","0.52 (0.3, 0.92)","0.46 (0.3, 0.72)"
"20","marital_status","married|cohabitation","0.39 (0.17, 0.81)","0.48 (0.24, 1.01)","0.45 (0.29, 0.74)","0.4 (0.28, 0.59)"
"21","marital_status","single","0.42 (0.18, 0.91)","0.75 (0.36, 1.63)","0.83 (0.51, 1.41)","0.84 (0.58, 1.26)"
"22","marital_status","widowed","0.19 (0.07, 0.45)","0.67 (0.27, 1.66)","0.33 (0.16, 0.66)","0.56 (0.35, 0.9)"
"23","region_residence","2","1.27 (0.73, 2.23)","1.43 (0.72, 2.87)","1.07 (0.7, 1.63)","0.91 (0.65, 1.28)"
"24","region_residence","3","1.39 (0.69, 2.83)","1.27 (0.52, 2.94)","1.25 (0.75, 2.05)","0.85 (0.54, 1.31)"
"25","region_residence","4","1.03 (0.47, 2.29)","2.04 (0.81, 4.92)","0.79 (0.43, 1.39)","0.8 (0.5, 1.25)"
"26","region_residence","5","0.86 (0.28, 2.68)","0.78 (0.12, 3.18)","0.5 (0.17, 1.17)","0.73 (0.37, 1.32)"
"27","region_residence","6","0.95 (0.51, 1.79)","1.81 (0.85, 3.83)","1.11 (0.68, 1.78)","1.21 (0.83, 1.76)"
"28","region_residence","7","1.23 (0.57, 2.73)","1.69 (0.66, 4.12)","0.78 (0.38, 1.49)","1.1 (0.67, 1.74)"
"29","region_residence","8","1.03 (0.47, 2.29)","1.04 (0.35, 2.75)","0.8 (0.43, 1.43)","1.01 (0.64, 1.55)"
"30","region_residence","9","1.26 (0.6, 2.74)","0.91 (0.31, 2.37)","0.81 (0.42, 1.46)","0.94 (0.59, 1.48)"
"31","region_residence","10","2.34 (0.94, 6.41)","0.85 (0.23, 2.55)","0.84 (0.44, 1.51)","1.14 (0.72, 1.76)"
"32","region_residence","11","1.72 (0.96, 3.14)","0.78 (0.35, 1.7)","0.81 (0.5, 1.29)","1 (0.7, 1.42)"
"33","region_residence","12","0.65 (0.34, 1.24)","1.02 (0.42, 2.33)","0.4 (0.17, 0.81)","0.96 (0.61, 1.47)"
"34","region_residence","13","1.53 (0.71, 3.39)","1.34 (0.51, 3.31)","0.59 (0.29, 1.12)","1.18 (0.77, 1.8)"
"35","region_residence","14","0.89 (0.48, 1.63)","1.19 (0.55, 2.56)","0.69 (0.42, 1.12)","0.77 (0.53, 1.12)"
"36","size_place_residence","5000-19999","0.88 (0.58, 1.34)","0.81 (0.49, 1.32)","1.32 (0.96, 1.82)","1.12 (0.87, 1.42)"
"37","size_place_residence","20000-99999","0.88 (0.59, 1.32)","0.57 (0.34, 0.94)","1.25 (0.91, 1.7)","1.05 (0.83, 1.32)"
"38","size_place_residence","100000+","0.85 (0.58, 1.25)","0.56 (0.34, 0.91)","1.14 (0.83, 1.56)","1 (0.79, 1.27)"
"39","age",NA,"0.59 (0.5, 0.69)","0.83 (0.69, 1)","0.71 (0.63, 0.8)","0.75 (0.69, 0.82)"
"40","SELFI_composite",NA,"1.07 (0.91, 1.26)","1.1 (0.9, 1.35)","3.85 (3.36, 4.43)","5.37 (4.75, 6.1)"
"41","beer_quantity",NA,"1.11 (0.95, 1.36)","1.1 (0.96, 1.3)","1.05 (0.92, 1.17)","1.04 (0.94, 1.14)"
"42","wine_quantity",NA,"1.11 (0.93, 1.34)","1.13 (0.93, 1.35)","1.08 (0.96, 1.18)","1.05 (0.96, 1.14)"
"43","spirits_quantity",NA,"1.17 (0.99, 1.46)","1 (0.81, 1.15)","1.11 (0.98, 1.23)","1.21 (1.11, 1.32)"
"44","beer_frequency",NA,"1.21 (1.04, 1.4)","1.01 (0.84, 1.21)","1.04 (0.92, 1.17)","0.91 (0.84, 1)"
"45","wine_frequency",NA,"1.31 (1.13, 1.53)","0.97 (0.81, 1.15)","1.17 (1.04, 1.31)","0.97 (0.89, 1.06)"
"46","spirits_frequency",NA,"1.29 (1.1, 1.51)","0.98 (0.81, 1.18)","1.22 (1.09, 1.37)","1.1 (1.01, 1.2)"
"47","binge_drinking",NA,"1.35 (1.14, 1.6)","1.1 (0.91, 1.33)","1.51 (1.36, 1.69)","1.33 (1.22, 1.45)"
