"","variable","value","any_mental_disorder","suicide_risk","anxiety_disorders","alcohol_use_disorders","depression"
"1","sex","female","2.38 (1.91, 2.97)","2.08 (1.52, 2.87)","1.56 (1.16, 2.11)","2.29 (1.55, 3.4)","1.48 (1.06, 2.07)"
"2","gender","transgender/non-binary","8.21 (3.1, 22.95)","3.84 (1.24, 12.27)","20.39 (3.66, 381.25)","7.37 (1.78, 28.66)","1.08 (0.05, 11.49)"
"3","gender","women","2.42 (1.93, 3.03)","2.12 (1.54, 2.93)","1.55 (1.15, 2.1)","2.45 (1.65, 3.66)","1.45 (1.05, 2.03)"
"4","education","lwr_secondary","0.75 (0.54, 1.03)","0.68 (0.44, 1.06)","0.6 (0.4, 0.92)","0.85 (0.46, 1.61)","0.88 (0.56, 1.41)"
"5","education","upr_secondary","0.93 (0.68, 1.27)","0.87 (0.56, 1.35)","0.79 (0.53, 1.19)","1.02 (0.57, 1.91)","1.21 (0.77, 1.92)"
"6","education","universitary","0.77 (0.53, 1.12)","0.76 (0.43, 1.31)","0.62 (0.38, 1)","0.88 (0.44, 1.79)","0.98 (0.55, 1.73)"
"7","work_status","other","4.52 (3.22, 6.37)","4.4 (2.75, 7.16)","3.94 (2.55, 6.18)","2.14 (0.82, 5.04)","3.21 (1.97, 5.3)"
"8","work_status","parental_leave","0.77 (0.44, 1.3)","1.02 (0.43, 2.22)","0.53 (0.25, 1.03)","0.63 (0.15, 1.85)","0.36 (0.14, 0.79)"
"9","work_status","retired","1.16 (0.86, 1.55)","1.05 (0.67, 1.63)","0.81 (0.54, 1.19)","0.99 (0.48, 1.9)","1.29 (0.81, 2.04)"
"10","work_status","self-employed","0.89 (0.54, 1.42)","0.81 (0.38, 1.61)","1.09 (0.56, 2.05)","1.23 (0.6, 2.32)","0.65 (0.28, 1.39)"
"11","work_status","student","0.96 (0.62, 1.44)","1.09 (0.61, 1.89)","0.71 (0.41, 1.21)","1.01 (0.48, 1.93)","0.63 (0.35, 1.11)"
"12","work_status","unemployed","0.89 (0.53, 1.43)","0.94 (0.48, 1.78)","0.74 (0.4, 1.33)","0.52 (0.15, 1.33)","0.61 (0.31, 1.16)"
"13","income","10-19k","1.47 (1.06, 2.05)","1.86 (1.18, 2.94)","1.43 (0.95, 2.18)","1.07 (0.55, 2.15)","1.99 (1.28, 3.12)"
"14","income","20-29k","0.74 (0.52, 1.06)","0.73 (0.45, 1.19)","1.04 (0.66, 1.63)","0.67 (0.35, 1.33)","1.05 (0.65, 1.71)"
"15","income","30-39k","0.57 (0.37, 0.88)","0.51 (0.26, 0.96)","0.94 (0.52, 1.67)","0.81 (0.41, 1.64)","0.83 (0.41, 1.64)"
"16","income","40-49k","0.49 (0.25, 0.9)","0.53 (0.2, 1.26)","0.93 (0.38, 2.14)","0.71 (0.27, 1.72)","1.05 (0.38, 2.72)"
"17","income","50+k","0.86 (0.42, 1.64)","1.74 (0.65, 4.52)","0.93 (0.31, 2.48)","0.88 (0.29, 2.34)","1.48 (0.51, 4.09)"
"18","income","no reply","0.98 (0.63, 1.51)","1 (0.54, 1.82)","1.44 (0.83, 2.49)","0.89 (0.38, 2.05)","0.88 (0.47, 1.6)"
"19","marital_status","divorced","1.2 (0.75, 1.96)","1.17 (0.61, 2.32)","1.12 (0.61, 2.08)","0.44 (0.17, 1.05)","1.24 (0.63, 2.47)"
"20","marital_status","married|cohabitation","0.7 (0.46, 1.09)","0.83 (0.46, 1.56)","0.69 (0.4, 1.19)","0.39 (0.21, 0.76)","0.84 (0.47, 1.55)"
"21","marital_status","single","0.89 (0.56, 1.42)","1.19 (0.63, 2.29)","0.75 (0.42, 1.36)","0.52 (0.26, 1.06)","0.75 (0.39, 1.44)"
"22","marital_status","widowed","0.95 (0.53, 1.69)","0.97 (0.43, 2.19)","0.7 (0.34, 1.42)","0.28 (0.04, 1.12)","1.05 (0.46, 2.39)"
"23","region_residence","2","1.16 (0.77, 1.74)","0.73 (0.41, 1.31)","1.25 (0.74, 2.11)","1.29 (0.6, 2.8)","1.11 (0.59, 2.1)"
"24","region_residence","3","1.43 (0.87, 2.33)","1.01 (0.49, 2.05)","1.63 (0.87, 3.07)","1.86 (0.74, 4.51)","1.77 (0.81, 3.9)"
"25","region_residence","4","0.63 (0.36, 1.09)","0.63 (0.25, 1.48)","0.82 (0.39, 1.67)","0.8 (0.31, 1.97)","0.84 (0.34, 2.03)"
"26","region_residence","5","0.86 (0.38, 1.77)","0.88 (0.28, 2.49)","1.16 (0.45, 2.82)","0.82 (0.12, 3.31)","1.38 (0.44, 4.13)"
"27","region_residence","6","0.97 (0.6, 1.55)","0.67 (0.33, 1.33)","1.04 (0.54, 1.95)","1.04 (0.41, 2.51)","0.71 (0.32, 1.54)"
"28","region_residence","7","1.25 (0.72, 2.15)","1.03 (0.46, 2.23)","1.61 (0.8, 3.24)","1.82 (0.67, 4.67)","2.21 (0.98, 5.06)"
"29","region_residence","8","0.9 (0.5, 1.57)","1.17 (0.49, 2.72)","1.11 (0.53, 2.3)","0.77 (0.24, 2.13)","0.74 (0.3, 1.75)"
"30","region_residence","9","0.99 (0.54, 1.74)","0.76 (0.31, 1.77)","1 (0.47, 2.08)","0.54 (0.12, 1.77)","1.01 (0.42, 2.36)"
"31","region_residence","10","0.66 (0.34, 1.21)","0.4 (0.15, 0.96)","0.97 (0.44, 2.04)","0.83 (0.25, 2.31)","0.85 (0.36, 1.95)"
